hex,count_good_aircraft,count_bad_aircraft
84004a3ffffffff,1,0
84005ddffffffff,1,0
8400c9bffffffff,1,0
8401049ffffffff,1,0
840104bffffffff,1,0
8401059ffffffff,2,0
840105dffffffff,1,0
8401201ffffffff,5,0
8401203ffffffff,1,0
8401205ffffffff,3,0
8401207ffffffff,5,0
840120dffffffff,7,0
8401211ffffffff,2,0
8401217ffffffff,1,0
840121bffffffff,1,0
840121dffffffff,1,0
8401221ffffffff,3,0
8401225ffffffff,3,1
8401227ffffffff,4,0
8401229ffffffff,3,0
840122bffffffff,3,0
840122dffffffff,4,0
8401231ffffffff,3,0
8401233ffffffff,2,0
8401239ffffffff,3,0
8401241ffffffff,6,0
8401243ffffffff,3,0
8401245ffffffff,8,0
8401247ffffffff,9,0
8401249ffffffff,1,0
840124bffffffff,6,0
840124dffffffff,4,0
8401251ffffffff,1,0
8401259ffffffff,3,0
840125dffffffff,1,0
8401261ffffffff,6,0
8401263ffffffff,5,0
8401265ffffffff,4,1
8401267ffffffff,6,1
8401269ffffffff,4,0
840126bffffffff,6,0
840126dffffffff,3,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c7ffffffff,2,0
84012c9ffffffff,3,0
84012cbffffffff,2,0
84012cdffffffff,2,0
8401303ffffffff,1,0
840130bffffffff,2,0
8401319ffffffff,4,0
840131dffffffff,3,0
8401351ffffffff,6,0
8401353ffffffff,4,0
8401355ffffffff,3,1
8401357ffffffff,4,0
8401359ffffffff,5,2
840135bffffffff,4,2
840135dffffffff,10,5
840136dffffffff,1,0
840248bffffffff,1,0
8402491ffffffff,5,0
8402499ffffffff,6,0
840249bffffffff,6,0
840249dffffffff,3,0
84024d1ffffffff,3,0
84024d3ffffffff,5,0
84024d5ffffffff,2,0
84024d7ffffffff,3,0
84024d9ffffffff,5,0
84024dbffffffff,2,0
84024ddffffffff,3,0
8402691ffffffff,8,0
8402693ffffffff,1,0
8402695ffffffff,1,0
8402697ffffffff,8,0
8402699ffffffff,8,0
840269bffffffff,1,0
84026b3ffffffff,6,0
84026b7ffffffff,1,0
84026bbffffffff,3,0
84026d3ffffffff,2,0
84026dbffffffff,1,0
8403043ffffffff,1,0
8403229ffffffff,1,0
840335bffffffff,1,0
8406281ffffffff,4,0
8406283ffffffff,5,0
8406289ffffffff,9,0
840628bffffffff,8,0
840628dffffffff,1,0
8406291ffffffff,11,0
8406293ffffffff,22,0
8406295ffffffff,8,0
8406297ffffffff,10,0
8406299ffffffff,13,0
840629bffffffff,13,0
840629dffffffff,8,0
84062b9ffffffff,2,0
84062bbffffffff,3,0
84062c1ffffffff,1,0
84062c3ffffffff,7,0
84062c7ffffffff,1,0
84062cbffffffff,7,0
84062d1ffffffff,9,0
84062d3ffffffff,11,0
84062d5ffffffff,8,0
84062d7ffffffff,10,0
84062d9ffffffff,8,0
84062dbffffffff,13,0
84062ddffffffff,6,0
8406601ffffffff,3,0
8406603ffffffff,1,0
8406605ffffffff,8,0
8406609ffffffff,5,0
840660bffffffff,2,0
840660dffffffff,4,0
8406619ffffffff,1,0
840661dffffffff,1,0
8406621ffffffff,8,0
8406625ffffffff,4,0
8406627ffffffff,4,0
8406629ffffffff,7,0
840662bffffffff,4,0
840662dffffffff,8,0
8406639ffffffff,1,0
840663dffffffff,1,0
8406641ffffffff,3,0
8406643ffffffff,4,0
8406645ffffffff,5,0
8406647ffffffff,3,0
8406649ffffffff,4,0
840664bffffffff,4,0
840664dffffffff,4,0
8406651ffffffff,7,0
8406655ffffffff,6,0
8406657ffffffff,6,0
8406659ffffffff,8,0
840665dffffffff,5,0
8406661ffffffff,11,0
8406663ffffffff,9,0
8406665ffffffff,5,0
8406667ffffffff,7,0
8406669ffffffff,12,0
840666bffffffff,8,0
840666dffffffff,7,0
8406715ffffffff,1,0
8406719ffffffff,3,0
840671dffffffff,8,0
8406741ffffffff,5,0
8406743ffffffff,6,0
8406745ffffffff,5,0
8406747ffffffff,1,0
8406749ffffffff,6,0
840674bffffffff,5,0
840674dffffffff,15,0
8406751ffffffff,14,0
8406753ffffffff,2,0
8406755ffffffff,2,0
8406757ffffffff,13,0
8406759ffffffff,16,0
840675bffffffff,1,0
840675dffffffff,5,0
8406769ffffffff,5,0
840676bffffffff,1,0
840676dffffffff,1,0
8406987ffffffff,1,0
8406991ffffffff,1,0
8406993ffffffff,2,0
8406995ffffffff,1,0
8406997ffffffff,2,0
84069a3ffffffff,3,0
84069a5ffffffff,7,0
84069a7ffffffff,1,0
84069adffffffff,6,0
84069b1ffffffff,2,0
84069b3ffffffff,4,0
84069b7ffffffff,6,0
84069b9ffffffff,1,0
84069bbffffffff,5,0
8406c01ffffffff,2,0
8406c03ffffffff,6,0
8406c05ffffffff,13,0
8406c07ffffffff,1,0
8406c0bffffffff,2,0
8406c15ffffffff,2,0
8406c17ffffffff,8,0
8406c1dffffffff,1,0
8406c21ffffffff,18,0
8406c23ffffffff,17,0
8406c25ffffffff,8,0
8406c27ffffffff,18,0
8406c29ffffffff,12,0
8406c2bffffffff,15,0
8406c2dffffffff,2,0
8406c31ffffffff,7,0
8406c33ffffffff,3,0
8406c35ffffffff,5,0
8406c37ffffffff,12,0
8406c39ffffffff,5,0
8406c3bffffffff,1,0
8406c61ffffffff,8,0
8406c63ffffffff,3,0
8406c65ffffffff,12,0
8406c6dffffffff,2,0
8406c83ffffffff,8,0
8406c85ffffffff,11,0
8406c8dffffffff,1,0
8406c93ffffffff,1,0
8406c95ffffffff,11,0
8406c9dffffffff,9,0
8406ca1ffffffff,5,0
8406ca3ffffffff,5,0
8406ca5ffffffff,10,0
8406ca7ffffffff,7,0
8406ca9ffffffff,3,0
8406cabffffffff,13,0
8406cadffffffff,12,0
8406cb1ffffffff,13,0
8406cb3ffffffff,3,0
8406cb5ffffffff,5,0
8406cb7ffffffff,8,0
8406cb9ffffffff,13,0
8406cbbffffffff,7,0
8406cbdffffffff,3,0
8406ce1ffffffff,14,0
8406ce5ffffffff,17,0
8406ce7ffffffff,12,0
8406ce9ffffffff,2,0
8406cedffffffff,15,0
8406d03ffffffff,7,0
8406d0bffffffff,2,0
8406d11ffffffff,8,0
8406d13ffffffff,6,0
8406d15ffffffff,10,0
8406d17ffffffff,9,0
8406d19ffffffff,8,0
8406d1bffffffff,8,0
8406d1dffffffff,18,0
8406d33ffffffff,7,0
8406d37ffffffff,1,0
8406d39ffffffff,5,0
8406d3bffffffff,6,0
8406d51ffffffff,9,0
8406d53ffffffff,14,0
8406d55ffffffff,6,0
8406d57ffffffff,19,0
8406d5bffffffff,13,0
8406d81ffffffff,3,0
8406d83ffffffff,2,0
8406d85ffffffff,11,0
8406d87ffffffff,4,0
8406d89ffffffff,3,0
8406d8bffffffff,2,0
8406d8dffffffff,10,0
8406d91ffffffff,4,0
8406d93ffffffff,12,0
8406d95ffffffff,8,0
8406d97ffffffff,4,0
8406d99ffffffff,5,0
8406d9bffffffff,9,0
8406d9dffffffff,9,0
8406da1ffffffff,10,0
8406da3ffffffff,10,0
8406da5ffffffff,3,0
8406da7ffffffff,12,0
8406da9ffffffff,9,0
8406dabffffffff,11,0
8406dadffffffff,5,0
8406db1ffffffff,7,0
8406db3ffffffff,3,0
8406db5ffffffff,3,0
8406db7ffffffff,9,0
8406db9ffffffff,1,0
8406dbbffffffff,9,0
8406dbdffffffff,4,0
8406dc1ffffffff,15,0
8406dc3ffffffff,6,0
8406dc5ffffffff,13,0
8406dc7ffffffff,11,0
8406dc9ffffffff,17,0
8406dcbffffffff,8,0
8406dcdffffffff,15,0
8406dd1ffffffff,16,0
8406dd3ffffffff,8,0
8406dd5ffffffff,1,0
8406dd7ffffffff,10,0
8406dd9ffffffff,13,0
8406ddbffffffff,14,0
8406dddffffffff,14,0
8406de1ffffffff,6,0
8406de3ffffffff,9,0
8406de5ffffffff,7,0
8406de7ffffffff,5,0
8406de9ffffffff,5,0
8406debffffffff,11,0
8406dedffffffff,8,0
8407401ffffffff,13,0
8407403ffffffff,13,0
8407405ffffffff,16,0
8407407ffffffff,11,0
8407409ffffffff,12,0
840740bffffffff,13,0
840740dffffffff,16,0
8407411ffffffff,35,0
8407413ffffffff,30,0
8407415ffffffff,28,0
8407417ffffffff,38,0
8407419ffffffff,24,0
840741bffffffff,31,0
840741dffffffff,22,0
8407421ffffffff,8,0
8407423ffffffff,23,0
8407425ffffffff,3,0
8407427ffffffff,12,0
8407429ffffffff,9,0
840742bffffffff,22,0
840742dffffffff,1,0
8407431ffffffff,18,0
8407433ffffffff,42,0
8407435ffffffff,15,0
8407437ffffffff,25,0
8407439ffffffff,13,0
840743bffffffff,32,0
840743dffffffff,9,0
8407441ffffffff,8,0
8407443ffffffff,10,0
8407447ffffffff,9,0
8407449ffffffff,3,0
840744bffffffff,13,0
8407451ffffffff,18,0
8407453ffffffff,21,0
8407455ffffffff,8,0
8407457ffffffff,18,0
840745bffffffff,13,0
840745dffffffff,6,0
8407461ffffffff,5,0
8407463ffffffff,3,0
8407467ffffffff,2,0
8407469ffffffff,5,0
840746bffffffff,3,0
8407481ffffffff,12,0
8407483ffffffff,5,0
8407485ffffffff,8,0
8407487ffffffff,9,0
8407489ffffffff,11,0
840748bffffffff,7,0
840748dffffffff,7,0
8407491ffffffff,1,0
8407495ffffffff,5,0
8407497ffffffff,1,0
840749dffffffff,5,0
84074a1ffffffff,6,0
84074a3ffffffff,5,0
84074a5ffffffff,10,0
84074a7ffffffff,3,0
84074a9ffffffff,7,0
84074abffffffff,6,0
84074adffffffff,9,0
84074b1ffffffff,6,0
84074b3ffffffff,9,0
84074b5ffffffff,3,0
84074b7ffffffff,4,0
84074b9ffffffff,6,0
84074bbffffffff,7,0
84074bdffffffff,6,0
84074c1ffffffff,11,0
84074c3ffffffff,12,0
84074c5ffffffff,29,0
84074c7ffffffff,9,0
84074c9ffffffff,23,0
84074cbffffffff,11,0
84074cdffffffff,27,0
84074d5ffffffff,6,0
84074ddffffffff,5,0
84074e1ffffffff,34,0
84074e3ffffffff,10,0
84074e5ffffffff,57,0
84074e7ffffffff,19,0
84074e9ffffffff,34,0
84074ebffffffff,9,0
84074edffffffff,45,0
8407503ffffffff,3,0
8407507ffffffff,1,0
840750bffffffff,1,0
8407511ffffffff,9,0
8407513ffffffff,6,0
8407515ffffffff,6,0
8407517ffffffff,9,0
8407519ffffffff,8,0
840751bffffffff,3,0
8407531ffffffff,3,0
8407533ffffffff,7,0
8407535ffffffff,7,0
8407537ffffffff,3,0
8407539ffffffff,3,0
840753bffffffff,5,0
840753dffffffff,3,0
8407581ffffffff,15,0
8407583ffffffff,18,0
8407585ffffffff,14,0
8407587ffffffff,21,0
8407589ffffffff,11,0
840758bffffffff,24,0
840758dffffffff,8,0
8407591ffffffff,14,0
8407593ffffffff,8,0
8407595ffffffff,19,0
8407597ffffffff,11,0
8407599ffffffff,13,0
840759bffffffff,10,0
840759dffffffff,18,0
84075a1ffffffff,11,0
84075a3ffffffff,20,0
84075a5ffffffff,14,0
84075a7ffffffff,13,0
84075a9ffffffff,11,0
84075abffffffff,18,0
84075adffffffff,11,0
84075b1ffffffff,8,0
84075b3ffffffff,17,0
84075b5ffffffff,9,0
84075b7ffffffff,7,0
84075b9ffffffff,9,0
84075bbffffffff,18,0
84075bdffffffff,15,0
84075c1ffffffff,14,0
84075c3ffffffff,11,0
84075c5ffffffff,20,0
84075c7ffffffff,12,0
84075c9ffffffff,11,0
84075cbffffffff,9,0
84075cdffffffff,17,0
84075d1ffffffff,72,0
84075d3ffffffff,13,0
84075d5ffffffff,20,0
84075d7ffffffff,34,0
84075d9ffffffff,70,0
84075dbffffffff,29,0
84075ddffffffff,30,0
84075e1ffffffff,15,0
84075e3ffffffff,9,0
84075e5ffffffff,16,0
84075e7ffffffff,13,0
84075e9ffffffff,14,0
84075ebffffffff,13,0
84075edffffffff,8,0
8407631ffffffff,1,0
8407635ffffffff,5,0
8407637ffffffff,7,0
84076a1ffffffff,11,0
84076a5ffffffff,28,0
84076a7ffffffff,12,0
84076a9ffffffff,14,0
84076adffffffff,31,0
84076b5ffffffff,1,0
84076b7ffffffff,1,0
84076e1ffffffff,5,0
84076e3ffffffff,10,0
84076e5ffffffff,1,0
84076e7ffffffff,20,0
8408001ffffffff,8,0
8408005ffffffff,7,0
8408007ffffffff,12,0
8408009ffffffff,2,0
840800bffffffff,9,0
840800dffffffff,7,0
8408021ffffffff,34,0
8408023ffffffff,43,0
8408025ffffffff,55,0
8408027ffffffff,41,0
8408029ffffffff,21,0
840802bffffffff,28,0
840802dffffffff,27,0
8408031ffffffff,38,0
8408033ffffffff,29,0
8408035ffffffff,58,0
8408037ffffffff,57,0
8408039ffffffff,20,0
840803bffffffff,19,0
840803dffffffff,30,0
8408043ffffffff,2,0
8408045ffffffff,1,0
8408047ffffffff,1,0
840804bffffffff,1,0
8408051ffffffff,2,0
8408053ffffffff,4,0
8408055ffffffff,1,0
8408057ffffffff,7,0
8408059ffffffff,1,0
840805bffffffff,2,0
840805dffffffff,1,0
8408061ffffffff,8,0
8408063ffffffff,7,0
8408065ffffffff,9,0
8408067ffffffff,4,0
840806bffffffff,1,0
840806dffffffff,9,0
8408101ffffffff,49,0
8408103ffffffff,2,0
8408105ffffffff,28,0
8408107ffffffff,1,0
8408109ffffffff,46,0
840810bffffffff,55,0
840810dffffffff,61,0
8408113ffffffff,1,0
8408115ffffffff,3,0
8408117ffffffff,2,0
8408119ffffffff,43,0
840811bffffffff,3,0
840811dffffffff,4,0
8408121ffffffff,11,0
8408123ffffffff,11,0
8408125ffffffff,8,0
8408127ffffffff,8,0
8408129ffffffff,19,0
840812bffffffff,7,0
840812dffffffff,7,0
8408131ffffffff,13,0
8408133ffffffff,13,0
8408135ffffffff,7,0
8408137ffffffff,8,0
8408139ffffffff,3,0
840813bffffffff,9,0
840813dffffffff,6,0
8408141ffffffff,12,0
8408143ffffffff,24,0
8408145ffffffff,8,0
8408147ffffffff,31,0
8408149ffffffff,19,0
840814bffffffff,21,0
840814dffffffff,7,0
8408151ffffffff,55,0
8408153ffffffff,39,0
8408155ffffffff,38,0
8408157ffffffff,71,0
8408159ffffffff,13,0
840815bffffffff,28,0
840815dffffffff,26,0
8408161ffffffff,44,0
8408163ffffffff,59,0
8408165ffffffff,53,0
8408167ffffffff,52,0
8408169ffffffff,22,0
840816bffffffff,42,0
840816dffffffff,28,0
8408181ffffffff,1,0
8408183ffffffff,1,0
8408185ffffffff,2,0
8408187ffffffff,1,0
8408189ffffffff,1,0
8408193ffffffff,2,0
8408195ffffffff,2,0
8408197ffffffff,2,0
8408199ffffffff,4,0
840819bffffffff,2,0
840819dffffffff,1,0
84081a1ffffffff,5,0
84081a3ffffffff,5,0
84081a5ffffffff,6,0
84081a7ffffffff,7,0
84081a9ffffffff,4,0
84081abffffffff,4,0
84081adffffffff,2,0
84081b1ffffffff,5,0
84081b3ffffffff,3,0
84081b5ffffffff,9,0
84081b7ffffffff,12,0
84081b9ffffffff,2,0
84081bdffffffff,3,0
84081c1ffffffff,1,0
84081c3ffffffff,2,0
84081c5ffffffff,2,0
84081c7ffffffff,1,0
84081c9ffffffff,39,0
84081cbffffffff,34,0
84081cdffffffff,1,0
84081d1ffffffff,7,0
84081d3ffffffff,5,0
84081d5ffffffff,2,0
84081d7ffffffff,2,0
84081d9ffffffff,52,0
84081dbffffffff,47,0
84081ddffffffff,29,0
84081e1ffffffff,3,0
84081e3ffffffff,2,0
84081e5ffffffff,4,0
84081e7ffffffff,5,0
84081e9ffffffff,2,0
84081ebffffffff,1,0
84081edffffffff,6,0
8408235ffffffff,1,0
8408281ffffffff,4,0
8408283ffffffff,26,0
8408285ffffffff,2,0
8408287ffffffff,22,0
840828bffffffff,3,0
840828dffffffff,1,0
8408291ffffffff,38,0
8408293ffffffff,44,0
8408295ffffffff,40,0
8408297ffffffff,51,0
8408299ffffffff,28,0
840829bffffffff,42,0
840829dffffffff,24,0
84082a1ffffffff,10,0
84082a3ffffffff,27,0
84082a5ffffffff,13,0
84082a7ffffffff,28,0
84082a9ffffffff,3,0
84082abffffffff,15,0
84082adffffffff,3,0
84082b1ffffffff,50,0
84082b3ffffffff,7,0
84082b5ffffffff,48,0
84082b7ffffffff,4,0
84082b9ffffffff,37,0
84082bbffffffff,52,0
84082bdffffffff,30,0
84082d1ffffffff,2,0
84082d3ffffffff,3,0
84082d5ffffffff,1,0
84082d7ffffffff,3,0
84082dbffffffff,1,0
84082e7ffffffff,1,0
8408301ffffffff,1,0
8408303ffffffff,4,0
8408305ffffffff,1,0
8408307ffffffff,4,0
8408309ffffffff,1,0
840830dffffffff,1,0
8408311ffffffff,2,0
8408313ffffffff,1,0
8408315ffffffff,2,0
8408317ffffffff,2,0
8408319ffffffff,1,0
840831dffffffff,2,0
8408321ffffffff,16,0
8408323ffffffff,16,0
8408325ffffffff,22,0
8408327ffffffff,20,0
8408329ffffffff,14,0
840832bffffffff,15,0
840832dffffffff,13,0
8408331ffffffff,9,0
8408333ffffffff,8,0
8408335ffffffff,12,0
8408337ffffffff,12,0
8408339ffffffff,2,0
840833bffffffff,3,0
840833dffffffff,15,0
8408345ffffffff,1,0
840834dffffffff,2,0
8408351ffffffff,3,0
