hex,count_good_aircraft,count_bad_aircraft
8400cdbffffffff,0,1
8401059ffffffff,1,0
840105bffffffff,1,0
8401201ffffffff,1,0
8401205ffffffff,4,0
8401207ffffffff,1,0
840120dffffffff,4,0
8401221ffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,2,0
8401229ffffffff,3,0
840122bffffffff,2,0
840122dffffffff,4,0
8401231ffffffff,1,0
8401233ffffffff,1,0
8401239ffffffff,1,0
8401241ffffffff,3,0
8401243ffffffff,3,0
8401245ffffffff,4,0
8401247ffffffff,5,0
840124bffffffff,2,0
840124dffffffff,1,0
8401259ffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,5,0
8401265ffffffff,1,0
8401267ffffffff,7,2
8401269ffffffff,1,0
840126bffffffff,5,0
840126dffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
840130bffffffff,1,0
8401319ffffffff,2,0
840131dffffffff,1,0
8401345ffffffff,0,1
840134bffffffff,1,0
8401351ffffffff,6,0
8401353ffffffff,5,0
8401355ffffffff,3,2
8401357ffffffff,4,0
8401359ffffffff,4,2
840135bffffffff,5,3
840135dffffffff,10,6
8401361ffffffff,1,0
840248bffffffff,2,0
8402491ffffffff,2,0
8402493ffffffff,1,0
8402499ffffffff,2,0
840249bffffffff,2,0
84024d1ffffffff,4,0
84024d5ffffffff,2,0
84024d7ffffffff,4,0
84024d9ffffffff,3,0
84024dbffffffff,3,0
84024ddffffffff,3,0
8402683ffffffff,1,0
8402691ffffffff,4,0
8402695ffffffff,1,0
8402697ffffffff,5,0
8402699ffffffff,4,0
84026b3ffffffff,4,0
84026b7ffffffff,1,0
84026bbffffffff,3,0
84026d3ffffffff,1,0
8403231ffffffff,2,0
840323dffffffff,1,0
84032c5ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,4,0
8406289ffffffff,7,0
840628bffffffff,6,0
8406291ffffffff,4,0
8406293ffffffff,18,0
8406295ffffffff,7,0
8406297ffffffff,5,0
8406299ffffffff,9,0
840629bffffffff,18,0
840629dffffffff,7,0
84062b9ffffffff,2,0
84062bbffffffff,3,0
84062c1ffffffff,4,0
84062c3ffffffff,2,0
84062c9ffffffff,3,0
84062cbffffffff,1,0
84062d1ffffffff,7,0
84062d3ffffffff,9,0
84062d5ffffffff,11,0
84062d7ffffffff,4,0
84062d9ffffffff,12,0
84062dbffffffff,5,0
84062ddffffffff,9,0
8406601ffffffff,7,0
8406603ffffffff,5,0
8406605ffffffff,20,0
8406607ffffffff,2,0
8406609ffffffff,20,0
840660bffffffff,9,0
840660dffffffff,20,0
8406615ffffffff,1,0
840661dffffffff,5,0
8406621ffffffff,12,0
8406625ffffffff,5,0
8406627ffffffff,4,0
8406629ffffffff,23,0
840662bffffffff,9,0
840662dffffffff,15,0
840663dffffffff,2,0
8406641ffffffff,7,0
8406643ffffffff,16,0
8406645ffffffff,13,0
8406647ffffffff,6,0
8406649ffffffff,10,0
840664bffffffff,16,0
840664dffffffff,16,0
8406651ffffffff,10,0
8406655ffffffff,14,0
8406657ffffffff,11,0
8406659ffffffff,16,0
840665dffffffff,8,0
8406661ffffffff,24,0
8406663ffffffff,11,0
8406665ffffffff,18,0
8406667ffffffff,15,0
8406669ffffffff,20,0
840666bffffffff,15,0
840666dffffffff,18,0
8406703ffffffff,9,0
8406709ffffffff,1,0
840670bffffffff,1,0
8406715ffffffff,3,0
8406719ffffffff,2,0
840671dffffffff,28,0
8406741ffffffff,1,0
8406743ffffffff,6,0
8406749ffffffff,3,0
840674bffffffff,3,0
840674dffffffff,8,0
8406751ffffffff,25,0
8406753ffffffff,2,0
8406755ffffffff,2,0
8406757ffffffff,34,0
8406759ffffffff,24,0
840675bffffffff,10,0
840675dffffffff,8,0
8406769ffffffff,2,0
840676dffffffff,1,0
8406983ffffffff,4,0
8406987ffffffff,3,0
8406991ffffffff,1,0
8406993ffffffff,2,0
8406997ffffffff,3,0
84069a3ffffffff,3,0
84069a5ffffffff,4,0
84069a9ffffffff,1,0
84069adffffffff,3,0
84069b1ffffffff,2,0
84069b3ffffffff,3,0
84069b7ffffffff,5,0
84069b9ffffffff,2,0
84069bbffffffff,3,0
84069bdffffffff,3,0
8406c01ffffffff,1,0
8406c03ffffffff,15,0
8406c05ffffffff,10,0
8406c07ffffffff,2,0
8406c0bffffffff,1,0
8406c15ffffffff,14,0
8406c17ffffffff,5,0
8406c1dffffffff,9,0
8406c21ffffffff,12,0
8406c23ffffffff,6,0
8406c25ffffffff,8,0
8406c27ffffffff,15,0
8406c29ffffffff,5,0
8406c2bffffffff,13,0
8406c2dffffffff,3,0
8406c31ffffffff,19,0
8406c33ffffffff,3,0
8406c35ffffffff,4,0
8406c37ffffffff,21,0
8406c39ffffffff,19,0
8406c3dffffffff,1,0
8406c61ffffffff,9,0
8406c63ffffffff,2,0
8406c65ffffffff,14,0
8406c67ffffffff,1,0
8406c6dffffffff,1,0
8406c83ffffffff,19,0
8406c85ffffffff,36,0
8406c87ffffffff,1,0
8406c95ffffffff,34,0
8406c9dffffffff,30,0
8406ca1ffffffff,16,0
8406ca3ffffffff,24,0
8406ca5ffffffff,11,0
8406ca7ffffffff,22,0
