hex,count_good_aircraft,count_bad_aircraft
8400cb3ffffffff,1,1
8400eb5ffffffff,1,0
8400ed9ffffffff,1,0
8401059ffffffff,5,0
840105bffffffff,3,0
8401201ffffffff,5,0
8401205ffffffff,4,0
8401207ffffffff,6,0
840120dffffffff,7,0
8401211ffffffff,1,0
8401219ffffffff,1,0
840121bffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,3,0
8401229ffffffff,3,0
840122bffffffff,2,0
840122dffffffff,3,0
8401231ffffffff,5,0
8401233ffffffff,5,0
8401239ffffffff,5,0
8401241ffffffff,4,0
8401243ffffffff,1,0
8401245ffffffff,8,0
8401247ffffffff,9,0
8401249ffffffff,1,0
840124bffffffff,1,0
840124dffffffff,5,0
8401251ffffffff,1,0
8401253ffffffff,1,0
8401259ffffffff,4,0
8401261ffffffff,6,1
8401263ffffffff,5,0
8401265ffffffff,4,2
8401267ffffffff,6,0
8401269ffffffff,2,0
840126bffffffff,5,0
840126dffffffff,1,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
840130bffffffff,2,1
8401319ffffffff,3,0
840131dffffffff,1,0
8401343ffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,5,2
8401353ffffffff,3,0
8401355ffffffff,3,2
8401357ffffffff,3,0
8401359ffffffff,3,2
840135bffffffff,5,3
840135dffffffff,9,4
8402491ffffffff,3,0
8402499ffffffff,2,0
840249bffffffff,6,0
840249dffffffff,4,0
84024d1ffffffff,3,0
84024d3ffffffff,4,0
84024d5ffffffff,2,0
84024d7ffffffff,5,0
84024d9ffffffff,5,0
84024dbffffffff,3,0
84024ddffffffff,5,0
8402681ffffffff,1,0
8402683ffffffff,2,0
8402685ffffffff,1,0
8402689ffffffff,1,0
8402691ffffffff,6,0
8402693ffffffff,3,0
8402695ffffffff,2,0
8402697ffffffff,6,0
8402699ffffffff,6,0
84026b1ffffffff,1,0
84026b3ffffffff,6,0
84026b7ffffffff,4,0
84026b9ffffffff,1,0
84026bbffffffff,7,0
84026d5ffffffff,1,0
8403237ffffffff,1,0
8403261ffffffff,1,0
84032b1ffffffff,1,0
84032ebffffffff,1,0
840561bffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,5,0
8406289ffffffff,7,0
840628bffffffff,8,0
840628dffffffff,1,0
8406291ffffffff,7,0
8406293ffffffff,14,0
8406295ffffffff,4,0
8406297ffffffff,7,0
8406299ffffffff,11,0
840629bffffffff,9,0
840629dffffffff,7,0
84062b9ffffffff,3,0
84062bbffffffff,1,0
84062c1ffffffff,3,0
84062c3ffffffff,2,0
84062c7ffffffff,1,0
84062c9ffffffff,2,0
84062cbffffffff,4,0
84062d1ffffffff,10,0
84062d3ffffffff,12,0
84062d5ffffffff,14,0
84062d7ffffffff,6,0
84062d9ffffffff,14,0
84062dbffffffff,11,0
84062ddffffffff,11,0
8406601ffffffff,7,0
8406603ffffffff,6,0
8406605ffffffff,6,0
8406609ffffffff,9,0
840660bffffffff,20,0
840660dffffffff,11,0
8406621ffffffff,8,0
8406625ffffffff,1,0
8406627ffffffff,1,0
8406629ffffffff,15,0
840662bffffffff,9,0
840662dffffffff,5,0
8406639ffffffff,1,0
8406641ffffffff,10,0
8406643ffffffff,3,0
8406645ffffffff,4,0
8406647ffffffff,10,0
8406649ffffffff,10,0
840664bffffffff,2,0
840664dffffffff,5,0
8406651ffffffff,17,0
8406655ffffffff,25,0
8406657ffffffff,15,0
8406659ffffffff,24,0
840665dffffffff,5,0
8406661ffffffff,11,0
8406663ffffffff,20,0
8406665ffffffff,13,0
8406667ffffffff,6,0
8406669ffffffff,15,0
840666bffffffff,14,0
840666dffffffff,14,0
8406703ffffffff,2,0
8406709ffffffff,1,0
8406711ffffffff,1,0
8406715ffffffff,1,0
8406719ffffffff,1,0
840671dffffffff,17,0
8406741ffffffff,5,0
8406743ffffffff,3,0
8406745ffffffff,4,0
8406747ffffffff,1,0
8406749ffffffff,16,0
840674bffffffff,3,0
840674dffffffff,7,0
8406751ffffffff,18,0
8406753ffffffff,1,0
8406755ffffffff,3,0
8406757ffffffff,21,0
8406759ffffffff,25,0
840675bffffffff,3,0
840675dffffffff,8,0
8406769ffffffff,9,0
840676dffffffff,1,0
8406983ffffffff,4,0
8406987ffffffff,8,0
8406997ffffffff,5,0
84069a3ffffffff,6,0
84069a5ffffffff,6,0
84069a7ffffffff,1,0
84069a9ffffffff,1,0
84069adffffffff,5,0
84069b1ffffffff,2,0
84069b3ffffffff,10,0
84069b7ffffffff,11,0
84069b9ffffffff,1,0
84069bbffffffff,10,0
84069bdffffffff,7,0
8406c03ffffffff,7,0
8406c05ffffffff,5,0
8406c15ffffffff,5,0
8406c17ffffffff,3,0
8406c1dffffffff,3,0
