hex,count_good_aircraft,count_bad_aircraft
8400535ffffffff,1,0
84005c1ffffffff,0,1
8400c5bffffffff,1,0
8400e99ffffffff,0,1
8401059ffffffff,4,0
840105bffffffff,3,0
8401201ffffffff,4,0
8401205ffffffff,2,0
8401207ffffffff,4,0
840120dffffffff,6,0
840121bffffffff,1,0
8401221ffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,1,0
8401229ffffffff,2,0
840122bffffffff,1,0
840122dffffffff,2,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401239ffffffff,4,0
8401241ffffffff,5,0
8401243ffffffff,3,0
8401245ffffffff,7,1
8401247ffffffff,7,0
8401249ffffffff,2,0
840124bffffffff,1,0
840124dffffffff,3,1
8401251ffffffff,1,0
8401255ffffffff,1,0
8401259ffffffff,4,0
840125bffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,2,0
8401265ffffffff,2,0
8401267ffffffff,4,1
8401269ffffffff,3,0
840126bffffffff,4,0
840126dffffffff,4,1
84012c1ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
84012cdffffffff,1,0
840130bffffffff,2,1
8401319ffffffff,2,0
840131dffffffff,1,0
8401351ffffffff,4,2
8401353ffffffff,2,0
8401355ffffffff,2,0
8401357ffffffff,2,0
8401359ffffffff,1,0
840135bffffffff,4,2
840135dffffffff,8,3
840248bffffffff,2,0
8402491ffffffff,5,0
8402493ffffffff,1,0
8402499ffffffff,3,0
840249bffffffff,6,0
840249dffffffff,4,0
84024cbffffffff,2,0
84024d1ffffffff,7,0
84024d3ffffffff,6,0
84024d5ffffffff,1,0
84024d7ffffffff,6,0
84024d9ffffffff,10,0
84024dbffffffff,4,0
84024ddffffffff,6,0
8402683ffffffff,1,0
8402689ffffffff,1,0
8402691ffffffff,11,0
8402693ffffffff,8,0
8402695ffffffff,6,0
8402697ffffffff,7,0
8402699ffffffff,11,0
840269bffffffff,2,0
84026b1ffffffff,5,0
84026b3ffffffff,7,0
84026b7ffffffff,11,0
84026bbffffffff,11,0
84026d1ffffffff,1,0
84026d5ffffffff,1,0
84026dbffffffff,1,0
840320dffffffff,1,0
8403221ffffffff,1,0
8403229ffffffff,1,0
8403353ffffffff,1,0
8406281ffffffff,3,0
8406283ffffffff,2,0
8406289ffffffff,11,0
840628bffffffff,8,0
840628dffffffff,1,0
8406291ffffffff,13,0
8406293ffffffff,8,0
8406295ffffffff,7,0
8406297ffffffff,6,0
8406299ffffffff,12,0
840629bffffffff,9,0
840629dffffffff,4,0
84062b9ffffffff,1,0
84062bbffffffff,2,0
84062c1ffffffff,1,0
84062c3ffffffff,3,0
84062c9ffffffff,1,0
84062cbffffffff,3,0
84062d1ffffffff,10,0
84062d3ffffffff,10,0
84062d5ffffffff,17,0
84062d7ffffffff,7,0
84062d9ffffffff,17,0
84062dbffffffff,10,0
84062ddffffffff,14,0
8406601ffffffff,5,0
8406603ffffffff,4,0
8406605ffffffff,11,0
8406607ffffffff,4,0
8406609ffffffff,9,0
840660bffffffff,6,0
840660dffffffff,6,0
8406615ffffffff,1,0
840661dffffffff,3,0
8406621ffffffff,9,0
8406623ffffffff,1,0
8406625ffffffff,3,0
8406627ffffffff,3,0
8406629ffffffff,10,0
840662bffffffff,8,0
840662dffffffff,11,0
8406639ffffffff,2,0
840663dffffffff,1,0
8406641ffffffff,6,0
8406643ffffffff,8,0
8406645ffffffff,8,0
8406647ffffffff,6,0
8406649ffffffff,2,0
840664bffffffff,10,0
840664dffffffff,15,0
8406651ffffffff,5,0
8406655ffffffff,8,0
8406657ffffffff,5,0
8406659ffffffff,7,0
840665bffffffff,1,0
840665dffffffff,4,0
8406661ffffffff,18,0
8406663ffffffff,16,0
8406665ffffffff,14,0
8406667ffffffff,9,0
8406669ffffffff,21,0
840666bffffffff,13,0
840666dffffffff,15,0
8406703ffffffff,3,0
840670bffffffff,1,0
8406715ffffffff,1,0
8406719ffffffff,3,0
840671dffffffff,15,0
8406739ffffffff,1,0
8406741ffffffff,5,0
8406743ffffffff,4,0
8406745ffffffff,2,0
8406749ffffffff,12,0
840674dffffffff,4,0
