hex,count_good_aircraft,count_bad_aircraft
8406d93ffffffff,5,0
8406d95ffffffff,3,0
8406d97ffffffff,8,0
8406d99ffffffff,2,0
8406d9bffffffff,5,0
8406d9dffffffff,5,0
8406da3ffffffff,4,0
8406da5ffffffff,2,0
8406da7ffffffff,2,0
8406da9ffffffff,1,0
8406dabffffffff,2,0
8406dadffffffff,2,0
8406db1ffffffff,4,0
8406db3ffffffff,7,0
8406db7ffffffff,8,0
8406db9ffffffff,1,0
8406dbbffffffff,8,0
8406dbdffffffff,2,0
8406dc1ffffffff,1,0
8406dc3ffffffff,4,0
8406dc5ffffffff,1,0
8406dc7ffffffff,2,0
8406dc9ffffffff,5,0
8406dcbffffffff,12,0
8406dcdffffffff,1,0
8406dd1ffffffff,10,0
8406dd3ffffffff,3,0
8406dd5ffffffff,3,0
8406dd7ffffffff,8,0
8406dd9ffffffff,6,0
8406ddbffffffff,7,0
8406dddffffffff,11,0
8406de3ffffffff,1,0
8406de5ffffffff,4,0
8406de9ffffffff,1,0
8406debffffffff,1,0
8406dedffffffff,2,0
8407401ffffffff,4,0
8407403ffffffff,9,0
8407405ffffffff,4,0
8407407ffffffff,5,0
8407409ffffffff,4,0
840740bffffffff,9,0
840740dffffffff,5,0
8407411ffffffff,25,0
8407413ffffffff,29,0
8407415ffffffff,26,0
8407417ffffffff,34,0
8407419ffffffff,18,0
840741bffffffff,29,0
840741dffffffff,25,0
8407421ffffffff,3,0
8407423ffffffff,7,0
8407425ffffffff,2,0
8407427ffffffff,2,0
8407429ffffffff,4,0
840742bffffffff,7,0
840742dffffffff,4,0
8407431ffffffff,14,0
8407433ffffffff,44,0
8407435ffffffff,6,0
8407437ffffffff,17,0
8407439ffffffff,9,0
840743bffffffff,31,0
840743dffffffff,3,0
8407443ffffffff,3,0
8407445ffffffff,1,0
8407447ffffffff,2,0
840744bffffffff,7,0
8407451ffffffff,21,0
8407453ffffffff,13,0
8407455ffffffff,10,0
8407457ffffffff,23,0
8407459ffffffff,7,0
840745bffffffff,12,0
840745dffffffff,9,0
8407461ffffffff,9,0
8407463ffffffff,4,0
8407465ffffffff,1,0
8407467ffffffff,11,0
8407469ffffffff,7,0
840746bffffffff,4,0
8407481ffffffff,12,0
8407483ffffffff,11,0
8407485ffffffff,9,0
8407487ffffffff,10,0
8407489ffffffff,19,0
840748bffffffff,8,0
840748dffffffff,8,0
8407491ffffffff,2,0
8407495ffffffff,4,0
8407497ffffffff,4,0
840749dffffffff,5,0
84074a1ffffffff,7,0
84074a3ffffffff,10,0
84074a5ffffffff,11,0
84074a7ffffffff,8,0
84074a9ffffffff,6,0
84074abffffffff,11,0
84074adffffffff,11,0
84074b1ffffffff,9,0
84074b3ffffffff,10,0
84074b5ffffffff,6,0
84074b7ffffffff,8,0
84074b9ffffffff,11,0
84074bbffffffff,8,0
84074bdffffffff,11,0
84074c1ffffffff,10,0
84074c3ffffffff,14,0
84074c5ffffffff,28,0
84074c7ffffffff,7,0
84074c9ffffffff,5,0
84074cbffffffff,11,0
84074cdffffffff,24,0
84074d5ffffffff,10,0
84074d7ffffffff,2,0
84074ddffffffff,5,0
84074e1ffffffff,32,0
84074e3ffffffff,8,0
84074e5ffffffff,40,0
84074e7ffffffff,22,0
84074e9ffffffff,31,0
84074ebffffffff,16,0
84074edffffffff,35,0
8407503ffffffff,3,0
8407507ffffffff,2,0
8407511ffffffff,8,0
8407513ffffffff,2,0
8407515ffffffff,12,0
8407517ffffffff,6,0
8407519ffffffff,10,0
840751bffffffff,1,0
840751dffffffff,5,0
8407531ffffffff,5,0
8407533ffffffff,6,0
8407535ffffffff,1,0
8407537ffffffff,5,0
8407539ffffffff,6,0
840753bffffffff,9,0
840753dffffffff,3,0
840755bffffffff,4,0
8407581ffffffff,9,0
8407583ffffffff,12,0
8407585ffffffff,6,0
8407587ffffffff,10,0
8407589ffffffff,8,0
840758bffffffff,12,0
840758dffffffff,6,0
8407591ffffffff,26,0
8407593ffffffff,15,0
8407595ffffffff,22,0
8407597ffffffff,21,0
8407599ffffffff,21,0
840759bffffffff,8,0
840759dffffffff,23,0
84075a1ffffffff,4,0
84075a3ffffffff,2,0
84075a5ffffffff,3,0
84075a7ffffffff,4,0
84075a9ffffffff,5,0
84075abffffffff,3,0
84075adffffffff,4,0
84075b1ffffffff,10,0
84075b3ffffffff,24,0
84075b5ffffffff,5,0
84075b7ffffffff,11,0
84075b9ffffffff,10,0
84075bbffffffff,21,0
84075bdffffffff,9,0
84075c1ffffffff,3,0
84075c3ffffffff,11,0
84075c5ffffffff,4,0
84075c7ffffffff,2,0
84075c9ffffffff,1,0
84075cbffffffff,7,0
84075cdffffffff,2,0
84075d1ffffffff,64,0
84075d3ffffffff,19,0
84075d5ffffffff,11,0
84075d7ffffffff,51,0
84075d9ffffffff,61,0
84075dbffffffff,37,0
84075ddffffffff,26,0
84075e1ffffffff,2,0
84075e3ffffffff,3,0
84075e5ffffffff,2,0
84075e7ffffffff,1,0
84075e9ffffffff,3,0
84075ebffffffff,2,0
84075edffffffff,2,0
8407631ffffffff,1,0
8407635ffffffff,2,0
8407637ffffffff,8,0
8407649ffffffff,1,0
840764dffffffff,1,0
84076a1ffffffff,11,0
84076a3ffffffff,1,0
84076a5ffffffff,21,0
84076a7ffffffff,23,0
84076a9ffffffff,15,0
84076adffffffff,21,0
84076b5ffffffff,4,0
84076b7ffffffff,2,0
84076e1ffffffff,4,0
84076e3ffffffff,8,0
84076e7ffffffff,14,0
8407713ffffffff,1,0
8408001ffffffff,4,0
8408005ffffffff,5,0
8408007ffffffff,11,0
8408009ffffffff,1,0
840800bffffffff,5,0
840800dffffffff,3,0
8408021ffffffff,22,0
8408023ffffffff,32,0
8408025ffffffff,55,0
8408027ffffffff,44,0
8408029ffffffff,12,0
840802bffffffff,18,0
840802dffffffff,18,0
8408031ffffffff,21,0
8408033ffffffff,22,0
8408035ffffffff,52,0
8408037ffffffff,49,0
8408039ffffffff,13,0
840803bffffffff,10,0
840803dffffffff,21,0
8408043ffffffff,2,0
8408045ffffffff,1,0
8408047ffffffff,1,0
840804bffffffff,1,0
8408051ffffffff,1,0
8408053ffffffff,1,0
8408055ffffffff,2,0
8408057ffffffff,3,0
840805dffffffff,1,0
8408061ffffffff,4,0
8408063ffffffff,3,0
8408065ffffffff,6,0
8408067ffffffff,2,0
840806bffffffff,1,0
840806dffffffff,3,0
8408101ffffffff,33,0
8408103ffffffff,4,0
8408105ffffffff,3,0
8408107ffffffff,6,0
8408109ffffffff,50,0
840810bffffffff,57,0
840810dffffffff,57,0
8408111ffffffff,1,0
8408113ffffffff,2,0
8408115ffffffff,2,0
8408117ffffffff,3,0
8408119ffffffff,45,0
840811bffffffff,2,0
840811dffffffff,1,0
8408121ffffffff,4,0
8408123ffffffff,4,0
8408125ffffffff,5,0
8408127ffffffff,5,0
8408129ffffffff,6,0
840812bffffffff,5,0
840812dffffffff,4,0
8408131ffffffff,6,0
8408133ffffffff,14,0
8408135ffffffff,5,0
8408137ffffffff,7,0
8408139ffffffff,5,0
840813bffffffff,4,0
840813dffffffff,6,0
8408141ffffffff,10,0
8408143ffffffff,30,0
8408145ffffffff,10,0
8408147ffffffff,27,0
8408149ffffffff,14,0
840814bffffffff,13,0
840814dffffffff,6,0
8408151ffffffff,51,0
8408153ffffffff,26,0
8408155ffffffff,42,0
8408157ffffffff,73,0
8408159ffffffff,15,0
840815bffffffff,19,0
840815dffffffff,23,0
8408161ffffffff,50,0
8408163ffffffff,51,0
8408165ffffffff,53,0
8408167ffffffff,44,0
8408169ffffffff,23,0
840816bffffffff,47,0
840816dffffffff,33,0
8408181ffffffff,3,0
8408183ffffffff,2,0
8408185ffffffff,2,0
8408187ffffffff,1,0
8408189ffffffff,2,0
840818bffffffff,2,0
840818dffffffff,3,0
8408191ffffffff,1,0
8408193ffffffff,3,0
8408195ffffffff,3,0
8408197ffffffff,2,0
8408199ffffffff,3,0
840819bffffffff,2,0
840819dffffffff,2,0
84081a1ffffffff,1,0
84081a3ffffffff,1,0
84081a5ffffffff,5,0
84081a7ffffffff,3,0
84081a9ffffffff,3,0
84081abffffffff,3,0
84081adffffffff,4,0
84081b1ffffffff,1,0
84081b3ffffffff,2,0
84081b5ffffffff,2,0
84081b7ffffffff,4,0
84081b9ffffffff,1,0
84081bbffffffff,1,0
84081bdffffffff,2,0
84081c1ffffffff,1,0
84081c3ffffffff,1,0
84081c5ffffffff,3,0
84081c7ffffffff,2,0
84081c9ffffffff,41,0
84081cbffffffff,35,0
84081cdffffffff,3,0
84081d1ffffffff,4,0
84081d3ffffffff,4,0
84081d5ffffffff,1,0
84081d7ffffffff,2,0
84081d9ffffffff,47,0
84081dbffffffff,43,0
84081ddffffffff,25,0
84081e1ffffffff,3,0
84081e3ffffffff,2,0
84081e5ffffffff,3,0
84081e7ffffffff,5,0
84081e9ffffffff,3,0
84081ebffffffff,4,0
84081edffffffff,5,0
8408227ffffffff,1,0
8408237ffffffff,1,0
8408283ffffffff,16,0
8408285ffffffff,1,0
8408287ffffffff,14,0
8408291ffffffff,33,0
8408293ffffffff,51,0
8408295ffffffff,35,0
8408297ffffffff,49,0
8408299ffffffff,12,0
840829bffffffff,42,0
840829dffffffff,14,0
84082a1ffffffff,5,0
84082a3ffffffff,25,0
84082a5ffffffff,5,0
84082a7ffffffff,24,0
84082a9ffffffff,1,0
84082abffffffff,9,0
84082adffffffff,1,0
84082b1ffffffff,48,0
84082b3ffffffff,3,0
84082b5ffffffff,44,0
84082b7ffffffff,3,0
84082b9ffffffff,32,0
84082bbffffffff,49,0
84082bdffffffff,24,0
84082d3ffffffff,1,0
84082d7ffffffff,1,0
8408301ffffffff,3,0
8408303ffffffff,5,0
8408305ffffffff,8,0
8408307ffffffff,10,0
8408309ffffffff,2,0
840830bffffffff,1,0
840830dffffffff,4,0
8408311ffffffff,1,0
8408313ffffffff,1,0
8408315ffffffff,3,0
8408317ffffffff,1,0
840831bffffffff,1,0
840831dffffffff,1,0
8408321ffffffff,10,0
8408323ffffffff,15,0
8408325ffffffff,23,0
8408327ffffffff,16,0
8408329ffffffff,13,0
840832bffffffff,16,0
840832dffffffff,12,0
8408331ffffffff,12,0
8408333ffffffff,5,0
8408335ffffffff,16,0
8408337ffffffff,18,0
8408339ffffffff,7,0
840833bffffffff,1,0
840833dffffffff,20,0
8408341ffffffff,1,0
8408343ffffffff,2,0
8408345ffffffff,3,0
8408347ffffffff,2,0
8408349ffffffff,2,0
840834bffffffff,2,0
840834dffffffff,3,0
8408351ffffffff,1,0
8408357ffffffff,1,0
8408359ffffffff,1,0
8408361ffffffff,6,0
8408363ffffffff,4,0
8408365ffffffff,18,0
8408367ffffffff,23,0
840836bffffffff,1,0
840836dffffffff,13,0
8408801ffffffff,41,0
8408803ffffffff,32,0
8408805ffffffff,116,0
8408807ffffffff,11,0
8408809ffffffff,31,0
840880bffffffff,36,0
840880dffffffff,73,0
8408811ffffffff,7,0
8408813ffffffff,3,0
8408815ffffffff,8,0
8408817ffffffff,6,0
8408819ffffffff,32,0
840881bffffffff,25,0
840881dffffffff,31,0
8408821ffffffff,32,0
8408823ffffffff,44,0
8408825ffffffff,28,0
8408827ffffffff,19,0
8408829ffffffff,110,0
840882bffffffff,46,0
840882dffffffff,46,0
8408831ffffffff,24,0
8408833ffffffff,22,1
8408835ffffffff,44,0
8408837ffffffff,42,0
8408839ffffffff,16,0
840883bffffffff,11,0
840883dffffffff,35,0
8408841ffffffff,18,0
8408843ffffffff,19,0
8408845ffffffff,38,0
8408847ffffffff,24,0
8408849ffffffff,21,0
840884bffffffff,20,0
840884dffffffff,35,0
8408851ffffffff,13,0
8408853ffffffff,14,0
8408855ffffffff,14,0
8408857ffffffff,31,0
8408859ffffffff,18,0
840885bffffffff,14,0
840885dffffffff,12,0
8408861ffffffff,129,0
8408863ffffffff,170,0
8408865ffffffff,111,0
8408867ffffffff,125,0
8408869ffffffff,70,0
840886bffffffff,69,0
840886dffffffff,84,0
8408881ffffffff,2,0
8408883ffffffff,4,0
8408885ffffffff,3,0
8408887ffffffff,4,0
8408889ffffffff,5,0
840888bffffffff,3,0
840888dffffffff,6,0
8408891ffffffff,4,0
8408893ffffffff,6,0
8408895ffffffff,5,0
8408897ffffffff,6,0
8408899ffffffff,8,0
840889bffffffff,4,0
840889dffffffff,6,0
84088a1ffffffff,4,0
84088a3ffffffff,7,0
84088a5ffffffff,9,0
84088a7ffffffff,6,1
84088a9ffffffff,4,0
84088abffffffff,2,0
84088adffffffff,8,1
84088b1ffffffff,7,0
84088b3ffffffff,3,0
84088b5ffffffff,8,0
84088b7ffffffff,6,1
84088b9ffffffff,4,0
84088bbffffffff,6,0
84088bdffffffff,7,0
84088c1ffffffff,8,0
84088c3ffffffff,5,0
84088c5ffffffff,8,0
84088c7ffffffff,6,0
84088c9ffffffff,23,0
84088cbffffffff,20,0
84088cdffffffff,8,0
84088d1ffffffff,4,0
84088d3ffffffff,5,0
84088d5ffffffff,6,0
84088d7ffffffff,4,0
84088d9ffffffff,20,0
84088dbffffffff,17,0
84088ddffffffff,5,0
84088e1ffffffff,6,0
84088e3ffffffff,5,0
84088e5ffffffff,8,0
84088e7ffffffff,6,0
84088e9ffffffff,7,0
84088ebffffffff,5,0
84088edffffffff,6,1
8408901ffffffff,32,3
8408903ffffffff,34,0
8408905ffffffff,54,1
8408907ffffffff,25,0
8408909ffffffff,53,3
840890bffffffff,38,3
840890dffffffff,44,2
8408911ffffffff,46,0
8408913ffffffff,58,0
8408915ffffffff,33,0
8408917ffffffff,26,1
8408919ffffffff,38,0
840891bffffffff,27,0
840891dffffffff,47,1
8408921ffffffff,62,5
8408923ffffffff,60,5
8408925ffffffff,29,2
8408927ffffffff,26,0
8408929ffffffff,50,2
840892bffffffff,62,1
840892dffffffff,69,2
8408931ffffffff,61,1
8408933ffffffff,50,1
8408935ffffffff,50,4
8408937ffffffff,35,4
8408939ffffffff,61,1
840893bffffffff,61,2
840893dffffffff,72,2
8408941ffffffff,44,1
8408943ffffffff,55,3
8408945ffffffff,39,3
8408947ffffffff,51,1
8408949ffffffff,69,3
840894bffffffff,63,1
840894dffffffff,45,1
8408951ffffffff,48,0
8408953ffffffff,34,0
8408955ffffffff,56,0
8408957ffffffff,36,0
8408959ffffffff,92,0
840895bffffffff,73,0
840895dffffffff,63,1
8408961ffffffff,47,4
8408963ffffffff,46,2
8408965ffffffff,57,0
8408967ffffffff,56,1
8408969ffffffff,48,1
840896bffffffff,43,2
840896dffffffff,61,1
8408981ffffffff,46,5
8408983ffffffff,43,9
8408985ffffffff,48,6
8408987ffffffff,43,7
8408989ffffffff,62,6
840898bffffffff,50,5
840898dffffffff,25,2
8408991ffffffff,50,7
8408993ffffffff,34,7
8408995ffffffff,59,10
8408997ffffffff,110,11
8408999ffffffff,41,4
840899bffffffff,8,2
840899dffffffff,52,3
84089a1ffffffff,43,1
84089a3ffffffff,47,7
84089a5ffffffff,64,5
84089a7ffffffff,37,5
84089a9ffffffff,24,1
84089abffffffff,30,0
84089adffffffff,16,1
84089b1ffffffff,67,6
84089b3ffffffff,25,5
84089b5ffffffff,52,4
84089b7ffffffff,11,0
84089b9ffffffff,74,13
84089bbffffffff,76,15
84089bdffffffff,64,9
84089c1ffffffff,33,0
84089c3ffffffff,30,0
84089c5ffffffff,55,0
84089c7ffffffff,63,2
84089c9ffffffff,20,0
84089cbffffffff,36,0
84089cdffffffff,27,0
84089d1ffffffff,48,2
84089d3ffffffff,22,0
84089d5ffffffff,40,3
84089d7ffffffff,50,7
84089d9ffffffff,39,0
84089dbffffffff,19,0
84089ddffffffff,41,2
84089e1ffffffff,48,0
84089e3ffffffff,46,1
84089e5ffffffff,45,0
84089e7ffffffff,30,0
84089e9ffffffff,14,0
84089ebffffffff,9,0
84089edffffffff,34,1
8408a01ffffffff,10,0
8408a03ffffffff,11,0
8408a05ffffffff,7,0
8408a07ffffffff,8,0
8408a09ffffffff,5,0
8408a0bffffffff,8,0
8408a0dffffffff,10,0
8408a11ffffffff,10,0
8408a13ffffffff,9,0
8408a15ffffffff,6,0
8408a17ffffffff,6,0
8408a19ffffffff,4,0
8408a1bffffffff,5,0
8408a1dffffffff,7,0
8408a21ffffffff,33,0
8408a23ffffffff,18,0
8408a25ffffffff,33,0
8408a27ffffffff,35,0
8408a29ffffffff,31,0
8408a2bffffffff,12,0
8408a2dffffffff,31,0
8408a31ffffffff,11,0
8408a33ffffffff,8,0
8408a35ffffffff,12,0
8408a37ffffffff,12,0
8408a39ffffffff,7,0
8408a3bffffffff,8,0
8408a3dffffffff,10,0
8408a41ffffffff,119,0
8408a43ffffffff,43,0
8408a45ffffffff,175,0
8408a47ffffffff,27,0
8408a49ffffffff,44,0
8408a4bffffffff,61,0
8408a4dffffffff,106,0
8408a51ffffffff,9,0
8408a53ffffffff,3,0
8408a55ffffffff,8,0
8408a57ffffffff,3,0
8408a59ffffffff,45,0
8408a5bffffffff,13,0
8408a5dffffffff,46,0
8408a61ffffffff,33,0
8408a63ffffffff,32,0
8408a65ffffffff,13,0
8408a67ffffffff,34,0
8408a69ffffffff,100,0
8408a6bffffffff,52,0
8408a6dffffffff,61,0
8408a81ffffffff,8,0
8408a83ffffffff,5,0
8408a85ffffffff,13,0
8408a87ffffffff,13,0
8408a89ffffffff,5,0
8408a8bffffffff,3,0
8408a8dffffffff,8,0
