hex,count_good_aircraft,count_bad_aircraft
8400581ffffffff,1,0
840058dffffffff,0,1
8401059ffffffff,4,0
8401201ffffffff,4,0
8401205ffffffff,2,0
8401207ffffffff,5,0
840120dffffffff,5,0
8401221ffffffff,1,0
8401225ffffffff,2,0
8401227ffffffff,2,0
8401229ffffffff,2,0
840122bffffffff,2,0
840122dffffffff,3,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401239ffffffff,4,0
8401241ffffffff,3,0
8401243ffffffff,2,0
8401245ffffffff,6,0
8401247ffffffff,8,0
840124bffffffff,3,0
840124dffffffff,4,0
8401259ffffffff,3,0
8401261ffffffff,3,0
8401263ffffffff,3,0
8401265ffffffff,3,1
8401267ffffffff,4,1
8401269ffffffff,2,0
840126bffffffff,3,0
840126dffffffff,2,0
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
840130bffffffff,1,0
8401311ffffffff,1,0
8401319ffffffff,1,0
840131bffffffff,1,0
840131dffffffff,1,0
8401351ffffffff,3,0
8401353ffffffff,3,0
8401355ffffffff,2,0
8401357ffffffff,2,0
8401359ffffffff,3,0
840135bffffffff,3,2
840135dffffffff,5,3
8402491ffffffff,2,0
8402499ffffffff,2,0
840249bffffffff,1,0
84024cbffffffff,1,0
84024d5ffffffff,2,0
84024d9ffffffff,2,0
84024ddffffffff,3,0
8402681ffffffff,2,0
8402683ffffffff,3,0
8402687ffffffff,1,0
8402691ffffffff,3,0
8402695ffffffff,3,0
8402697ffffffff,5,0
8402699ffffffff,3,0
84026b1ffffffff,1,0
84026b3ffffffff,3,0
84026b5ffffffff,2,0
84026b7ffffffff,1,0
84026bbffffffff,5,0
84026bdffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,6,0
8406289ffffffff,6,0
840628bffffffff,10,0
8406291ffffffff,3,0
8406293ffffffff,18,0
8406295ffffffff,2,0
8406297ffffffff,7,0
8406299ffffffff,6,0
840629bffffffff,11,0
840629dffffffff,4,0
84062b9ffffffff,3,0
84062c1ffffffff,2,0
84062c3ffffffff,1,0
84062c9ffffffff,1,0
84062cbffffffff,3,0
84062d1ffffffff,9,0
84062d3ffffffff,6,0
84062d5ffffffff,15,0
84062d7ffffffff,4,0
84062d9ffffffff,11,0
84062dbffffffff,5,0
84062ddffffffff,10,0
8406601ffffffff,16,0
8406603ffffffff,7,0
8406605ffffffff,9,0
8406607ffffffff,10,0
8406609ffffffff,16,0
840660bffffffff,10,0
840660dffffffff,12,0
8406615ffffffff,1,0
840661dffffffff,2,0
8406621ffffffff,15,0
8406625ffffffff,4,0
8406627ffffffff,3,0
8406629ffffffff,12,0
840662bffffffff,9,0
840662dffffffff,19,0
8406639ffffffff,4,0
840663dffffffff,3,0
8406641ffffffff,16,0
8406643ffffffff,9,0
8406645ffffffff,14,0
8406647ffffffff,16,0
8406649ffffffff,12,0
840664bffffffff,13,0
840664dffffffff,15,0
8406651ffffffff,9,0
8406655ffffffff,23,0
8406657ffffffff,6,0
8406659ffffffff,16,0
840665bffffffff,2,0
840665dffffffff,17,0
8406661ffffffff,29,0
8406663ffffffff,8,0
8406665ffffffff,8,0
8406667ffffffff,26,0
8406669ffffffff,26,0
840666bffffffff,12,0
840666dffffffff,15,0
8406703ffffffff,3,0
8406709ffffffff,2,0
8406715ffffffff,3,0
8406719ffffffff,2,0
840671dffffffff,26,0
8406741ffffffff,8,0
8406743ffffffff,7,0
8406745ffffffff,3,0
8406747ffffffff,4,0
8406749ffffffff,10,0
840674bffffffff,14,0
840674dffffffff,12,0
8406751ffffffff,25,0
8406753ffffffff,7,0
8406755ffffffff,1,0
8406757ffffffff,27,0
8406759ffffffff,24,0
840675bffffffff,13,0
840675dffffffff,5,0
8406769ffffffff,4,0
840676bffffffff,1,0
840676dffffffff,1,0
8406993ffffffff,1,0
8406997ffffffff,2,0
840699dffffffff,1,0
84069a3ffffffff,1,0
84069a5ffffffff,3,0
84069a7ffffffff,1,0
84069abffffffff,1,0
84069adffffffff,2,0
84069b3ffffffff,5,0
84069b7ffffffff,6,0
84069bbffffffff,5,0
8406c03ffffffff,9,0
8406c05ffffffff,18,0
8406c15ffffffff,6,0
8406c17ffffffff,3,0
8406c1dffffffff,2,0
8406c21ffffffff,20,0
8406c23ffffffff,4,0
8406c25ffffffff,2,0
8406c27ffffffff,20,0
8406c29ffffffff,7,0
8406c2bffffffff,21,0
8406c2dffffffff,2,0
8406c31ffffffff,16,0
8406c33ffffffff,2,0
8406c35ffffffff,9,0
8406c37ffffffff,15,0
8406c39ffffffff,14,0
8406c3bffffffff,2,0
8406c3dffffffff,1,0
8406c61ffffffff,14,0
8406c63ffffffff,2,0
8406c65ffffffff,19,0
8406c67ffffffff,5,0
8406c6dffffffff,1,0
8406c81ffffffff,2,0
8406c83ffffffff,27,0
8406c85ffffffff,58,0
8406c87ffffffff,3,0
8406c89ffffffff,1,0
8406c95ffffffff,77,0
8406c9dffffffff,76,0
8406ca1ffffffff,20,0
8406ca3ffffffff,44,0
8406ca5ffffffff,12,0
8406ca7ffffffff,26,0
8406ca9ffffffff,4,0
8406cabffffffff,53,0
8406cadffffffff,9,0
8406cb1ffffffff,80,0
8406cb3ffffffff,5,0
8406cb5ffffffff,4,0
8406cb7ffffffff,78,0
