hex,count_good_aircraft,count_bad_aircraft
84005cbffffffff,1,0
8400c57ffffffff,0,1
8400ec1ffffffff,0,1
8401059ffffffff,3,0
840105bffffffff,2,0
8401201ffffffff,5,0
8401205ffffffff,3,0
8401207ffffffff,4,0
8401209ffffffff,1,0
840120bffffffff,1,0
840120dffffffff,5,0
8401219ffffffff,1,0
8401221ffffffff,1,0
8401225ffffffff,3,0
8401227ffffffff,2,0
8401229ffffffff,3,0
840122bffffffff,2,0
840122dffffffff,2,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
8401241ffffffff,2,0
8401243ffffffff,3,0
8401245ffffffff,5,1
8401247ffffffff,7,1
840124bffffffff,1,0
840124dffffffff,2,0
8401257ffffffff,1,0
8401259ffffffff,3,0
840125dffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,3,0
8401265ffffffff,5,1
8401267ffffffff,4,0
8401269ffffffff,3,0
840126bffffffff,5,0
840126dffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,1,0
840130bffffffff,2,0
8401319ffffffff,3,0
840131dffffffff,1,0
8401341ffffffff,1,1
8401343ffffffff,1,1
8401347ffffffff,1,0
8401351ffffffff,5,0
8401353ffffffff,2,0
8401355ffffffff,2,0
8401357ffffffff,3,0
8401359ffffffff,4,1
840135bffffffff,4,1
840135dffffffff,9,5
8401369ffffffff,1,0
8402491ffffffff,2,0
8402499ffffffff,5,0
840249bffffffff,4,0
840249dffffffff,2,0
84024d1ffffffff,2,0
84024d3ffffffff,7,0
84024d5ffffffff,4,0
84024d7ffffffff,2,0
84024d9ffffffff,11,0
84024dbffffffff,5,0
84024ddffffffff,8,0
8402691ffffffff,9,0
8402693ffffffff,2,0
8402695ffffffff,2,0
8402697ffffffff,9,0
8402699ffffffff,9,0
84026b1ffffffff,1,0
84026b3ffffffff,9,0
84026b7ffffffff,3,0
84026bbffffffff,10,0
8403213ffffffff,1,0
84032bdffffffff,1,0
8406281ffffffff,5,0
8406283ffffffff,7,0
8406289ffffffff,8,0
840628bffffffff,12,0
8406291ffffffff,1,0
8406293ffffffff,8,0
8406297ffffffff,1,0
840629bffffffff,6,0
840629dffffffff,1,0
84062b9ffffffff,1,0
84062c1ffffffff,1,0
84062c3ffffffff,9,0
84062cbffffffff,10,0
84062d1ffffffff,8,0
84062d5ffffffff,14,0
84062d7ffffffff,1,0
84062d9ffffffff,11,0
84062dbffffffff,1,0
84062ddffffffff,10,0
8406601ffffffff,5,0
8406603ffffffff,5,0
8406605ffffffff,9,0
8406607ffffffff,7,0
8406609ffffffff,6,0
840660bffffffff,7,0
840660dffffffff,7,0
8406615ffffffff,1,0
840661dffffffff,1,0
8406621ffffffff,9,0
8406623ffffffff,2,0
8406625ffffffff,3,0
8406627ffffffff,3,0
8406629ffffffff,11,0
840662bffffffff,3,0
840662dffffffff,11,0
8406635ffffffff,1,0
8406639ffffffff,3,0
840663dffffffff,4,0
8406641ffffffff,5,0
8406643ffffffff,5,0
8406645ffffffff,15,0
8406647ffffffff,7,0
8406649ffffffff,4,0
840664bffffffff,5,0
840664dffffffff,10,0
8406651ffffffff,6,0
