hex,count_good_aircraft,count_bad_aircraft
840053bffffffff,0,1
8400ee9ffffffff,1,0
8401059ffffffff,3,0
840105bffffffff,3,0
8401201ffffffff,3,0
8401207ffffffff,3,0
840120dffffffff,3,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
8401245ffffffff,3,0
8401247ffffffff,3,0
8401249ffffffff,1,0
840124dffffffff,3,0
840660bffffffff,1,0
8406651ffffffff,1,0
8406655ffffffff,1,0
8406657ffffffff,1,0
8406659ffffffff,1,0
8406d93ffffffff,1,0
8407411ffffffff,1,0
8407413ffffffff,1,0
8407415ffffffff,1,0
8407417ffffffff,2,0
8407419ffffffff,1,0
840741bffffffff,1,0
840741dffffffff,1,0
8407431ffffffff,1,0
8407433ffffffff,2,0
8407437ffffffff,1,0
840743bffffffff,2,0
8407441ffffffff,1,0
8407447ffffffff,1,0
840744bffffffff,1,0
8407451ffffffff,1,0
8407453ffffffff,1,0
8407457ffffffff,1,0
840745bffffffff,1,0
8407461ffffffff,1,0
8407467ffffffff,1,0
840746bffffffff,1,0
8407489ffffffff,1,0
840748dffffffff,1,0
84074b3ffffffff,1,0
84074bbffffffff,1,0
84074c1ffffffff,1,0
84074c5ffffffff,1,0
84074c9ffffffff,1,0
84074d5ffffffff,1,0
84074e1ffffffff,1,0
84074e3ffffffff,1,0
84074e5ffffffff,2,0
84074e7ffffffff,1,0
84074e9ffffffff,1,0
84074edffffffff,2,0
8407583ffffffff,1,0
840758bffffffff,1,0
84075b9ffffffff,1,0
84075d1ffffffff,4,0
84075d5ffffffff,1,0
84075d9ffffffff,5,0
84075dbffffffff,3,0
84075ddffffffff,1,0
8407635ffffffff,1,0
84076a1ffffffff,1,0
84076a5ffffffff,1,0
84076a9ffffffff,1,0
84076adffffffff,1,0
8408103ffffffff,1,0
8408105ffffffff,1,0
8408107ffffffff,1,0
8408111ffffffff,1,0
8408115ffffffff,1,0
8408117ffffffff,1,0
840811bffffffff,1,0
8408127ffffffff,1,0
8408129ffffffff,1,0
8408131ffffffff,1,0
8408133ffffffff,2,0
8408135ffffffff,1,0
840813bffffffff,1,0
840814dffffffff,1,0
8408151ffffffff,1,0
8408159ffffffff,1,0
840815dffffffff,1,0
8408167ffffffff,1,0
8408181ffffffff,1,0
8408183ffffffff,1,0
840818bffffffff,1,0
840818dffffffff,1,0
8408191ffffffff,1,0
840819bffffffff,1,0
840819dffffffff,1,0
84081c1ffffffff,1,0
84081c3ffffffff,1,0
84081cdffffffff,1,0
84081d1ffffffff,1,0
84081d3ffffffff,1,0
84081d5ffffffff,1,0
84081ddffffffff,1,0
84081e1ffffffff,1,0
84081e3ffffffff,1,0
84081ebffffffff,1,0
84081edffffffff,2,0
84082b3ffffffff,1,0
84082b7ffffffff,1,0
8408805ffffffff,2,0
8408821ffffffff,2,0
8408823ffffffff,2,0
8408829ffffffff,3,0
840882dffffffff,3,0
8408835ffffffff,1,0
8408863ffffffff,2,0
8408865ffffffff,1,0
8408867ffffffff,3,0
8408881ffffffff,1,0
8408883ffffffff,1,0
8408889ffffffff,1,0
8408895ffffffff,1,0
8408899ffffffff,1,0
840889dffffffff,1,0
84088b1ffffffff,1,0
84088b5ffffffff,1,0
84088b9ffffffff,1,0
84088c1ffffffff,1,0
84088c3ffffffff,1,0
84088c9ffffffff,1,0
8408901ffffffff,1,0
8408903ffffffff,1,0
8408905ffffffff,1,0
8408907ffffffff,1,0
840890dffffffff,2,0
8408915ffffffff,1,0
8408917ffffffff,1,0
8408927ffffffff,3,0
8408929ffffffff,1,0
840892bffffffff,2,0
8408931ffffffff,1,0
8408933ffffffff,1,0
8408939ffffffff,2,0
840893bffffffff,2,0
840893dffffffff,1,0
8408945ffffffff,1,0
8408947ffffffff,1,0
8408951ffffffff,3,1
8408955ffffffff,2,0
8408959ffffffff,3,0
840895bffffffff,5,0
840895dffffffff,2,0
8408965ffffffff,1,0
8408967ffffffff,1,0
8408969ffffffff,1,0
840896bffffffff,2,0
8408981ffffffff,1,1
840898bffffffff,1,0
8408997ffffffff,10,0
84089a1ffffffff,1,0
84089a3ffffffff,4,2
84089a5ffffffff,5,0
84089a7ffffffff,3,0
84089a9ffffffff,2,0
84089abffffffff,1,0
84089adffffffff,1,0
84089b1ffffffff,5,1
84089b5ffffffff,1,0
84089bbffffffff,2,1
84089bdffffffff,3,1
84089c1ffffffff,1,0
84089c9ffffffff,1,0
84089cbffffffff,1,0
84089d1ffffffff,1,0
84089d5ffffffff,1,0
84089d7ffffffff,1,0
84089dbffffffff,1,0
84089e1ffffffff,2,0
84089e3ffffffff,2,0
84089e5ffffffff,1,0
84089e7ffffffff,2,0
84089edffffffff,2,0
8408a01ffffffff,1,0
8408a03ffffffff,1,0
8408a05ffffffff,1,0
8408a11ffffffff,1,0
8408a19ffffffff,1,0
8408a1bffffffff,1,0
8408a1dffffffff,1,0
8408a29ffffffff,1,0
8408a31ffffffff,1,0
8408a35ffffffff,1,0
8408a39ffffffff,1,0
8408a41ffffffff,2,0
8408a45ffffffff,2,0
8408a4bffffffff,1,0
8408a4dffffffff,2,0
8408a59ffffffff,1,0
8408a5bffffffff,1,0
8408a5dffffffff,1,0
8408a67ffffffff,1,0
8408a69ffffffff,1,0
8408a6dffffffff,1,0
8408aa1ffffffff,1,0
8408aa3ffffffff,1,0
8408aa9ffffffff,1,0
8408aabffffffff,1,0
8408ab9ffffffff,1,0
