hex,count_good_aircraft,count_bad_aircraft
84004b5ffffffff,1,0
84005cbffffffff,1,0
8400c8bffffffff,1,1
8400ec9ffffffff,1,0
8401059ffffffff,3,0
840105bffffffff,3,0
8401087ffffffff,1,0
8401201ffffffff,3,0
8401205ffffffff,2,0
8401207ffffffff,4,0
8401209ffffffff,1,0
840120dffffffff,6,0
8401211ffffffff,1,0
840121bffffffff,1,0
8401221ffffffff,1,0
8401225ffffffff,2,0
8401227ffffffff,2,0
8401229ffffffff,4,0
840122bffffffff,1,0
840122dffffffff,3,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
8401243ffffffff,3,0
8401245ffffffff,3,0
8401247ffffffff,8,1
8401249ffffffff,1,0
840124dffffffff,3,0
8401259ffffffff,2,0
840125dffffffff,1,0
8401261ffffffff,2,0
8401263ffffffff,3,0
8401265ffffffff,1,0
8401267ffffffff,3,0
8401269ffffffff,1,0
840126bffffffff,3,0
840126dffffffff,1,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,2,0
84012cdffffffff,1,0
840130bffffffff,1,0
8401319ffffffff,2,0
8401341ffffffff,1,1
8401351ffffffff,4,0
8401353ffffffff,5,0
8401355ffffffff,3,0
8401357ffffffff,4,0
8401359ffffffff,4,0
840135bffffffff,3,0
840135dffffffff,7,2
8401369ffffffff,1,1
840248bffffffff,1,0
8402491ffffffff,3,0
8402493ffffffff,1,0
8402495ffffffff,2,0
8402499ffffffff,5,0
840249bffffffff,5,0
84024d1ffffffff,5,0
84024d3ffffffff,2,0
84024d5ffffffff,2,0
84024d7ffffffff,3,0
84024d9ffffffff,5,0
84024dbffffffff,5,0
84024ddffffffff,2,0
8402681ffffffff,2,0
8402683ffffffff,1,0
8402687ffffffff,2,0
8402691ffffffff,2,0
8402693ffffffff,3,0
8402697ffffffff,2,0
8402699ffffffff,2,0
84026b1ffffffff,2,0
84026b3ffffffff,3,0
84026b7ffffffff,1,0
84026b9ffffffff,2,0
84026bbffffffff,1,0
8403045ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,6,0
8406289ffffffff,7,0
840628bffffffff,14,0
8406291ffffffff,7,0
8406293ffffffff,16,0
8406295ffffffff,1,0
8406297ffffffff,7,0
8406299ffffffff,9,0
840629bffffffff,12,0
840629dffffffff,5,0
84062b9ffffffff,2,0
84062c1ffffffff,3,0
84062c3ffffffff,6,0
84062c7ffffffff,1,0
84062c9ffffffff,1,0
84062cbffffffff,7,0
84062d1ffffffff,14,0
84062d3ffffffff,10,0
84062d5ffffffff,17,0
84062d7ffffffff,5,0
84062d9ffffffff,19,0
84062dbffffffff,5,0
84062ddffffffff,11,0
8406601ffffffff,5,0
8406603ffffffff,5,0
8406605ffffffff,6,0
8406607ffffffff,2,0
8406609ffffffff,8,0
840660bffffffff,4,0
840660dffffffff,1,0
840661dffffffff,4,0
8406621ffffffff,2,0
8406625ffffffff,2,0
8406627ffffffff,1,0
8406629ffffffff,5,0
840662bffffffff,8,0
840662dffffffff,8,0
8406641ffffffff,4,0
8406643ffffffff,7,0
8406645ffffffff,6,0
8406647ffffffff,1,0
8406649ffffffff,6,0
840664bffffffff,7,0
840664dffffffff,25,0
8406651ffffffff,1,0
8406655ffffffff,4,0
8406657ffffffff,6,0
8406659ffffffff,2,0
840665bffffffff,1,0
840665dffffffff,4,0
8406661ffffffff,27,0
8406663ffffffff,10,0
8406665ffffffff,29,0
8406667ffffffff,9,0
8406669ffffffff,34,0
840666bffffffff,9,0
840666dffffffff,23,0
8406703ffffffff,12,0
840670bffffffff,2,0
8406719ffffffff,1,0
840671dffffffff,23,0
8406741ffffffff,2,0
8406743ffffffff,3,0
8406745ffffffff,2,0
8406749ffffffff,9,0
840674bffffffff,7,0
840674dffffffff,7,0
8406751ffffffff,21,0
8406755ffffffff,5,0
8406757ffffffff,26,0
8406759ffffffff,13,0
840675bffffffff,22,0
840675dffffffff,8,0
8406769ffffffff,3,0
8406983ffffffff,1,0
8406987ffffffff,5,0
8406991ffffffff,1,0
8406997ffffffff,1,0
84069a3ffffffff,8,0
84069a5ffffffff,2,0
84069a7ffffffff,3,0
84069a9ffffffff,1,0
84069adffffffff,2,0
84069b1ffffffff,1,0
84069b3ffffffff,6,0
84069b7ffffffff,6,0
84069bbffffffff,6,0
84069bdffffffff,4,0
8406c03ffffffff,12,0
8406c05ffffffff,14,0
8406c07ffffffff,2,0
8406c15ffffffff,21,0
8406c17ffffffff,3,0
8406c1dffffffff,7,0
8406c21ffffffff,15,0
8406c23ffffffff,11,0
8406c25ffffffff,2,0
8406c27ffffffff,15,0
8406c29ffffffff,12,0
8406c2bffffffff,18,0
8406c31ffffffff,28,0
8406c33ffffffff,5,0
8406c35ffffffff,5,0
8406c37ffffffff,27,1
8406c39ffffffff,24,0
8406c3bffffffff,2,0
8406c3dffffffff,2,0
8406c61ffffffff,9,0
8406c63ffffffff,2,0
8406c65ffffffff,15,0
8406c67ffffffff,2,0
8406c6dffffffff,6,0
8406c83ffffffff,10,0
8406c85ffffffff,45,0
8406c87ffffffff,1,0
8406c95ffffffff,17,0
8406c9dffffffff,14,0
8406ca1ffffffff,11,0
8406ca3ffffffff,39,0
8406ca5ffffffff,5,0
8406ca7ffffffff,11,0
8406ca9ffffffff,2,0
8406cabffffffff,46,0
8406cadffffffff,5,0
8406cb1ffffffff,19,0
8406cb3ffffffff,7,0
8406cb5ffffffff,5,0
8406cb7ffffffff,14,0
8406cb9ffffffff,20,0
8406cbbffffffff,13,0
8406cbdffffffff,1,0
8406ce1ffffffff,7,0
8406ce5ffffffff,12,0
8406ce7ffffffff,6,0
8406ce9ffffffff,2,0
8406cedffffffff,8,0
8406d03ffffffff,10,0
8406d0bffffffff,2,0
8406d11ffffffff,12,0
8406d13ffffffff,4,0
8406d15ffffffff,8,0
8406d17ffffffff,16,0
8406d19ffffffff,15,0
8406d1bffffffff,4,0
8406d1dffffffff,15,0
8406d33ffffffff,6,0
8406d37ffffffff,1,0
8406d39ffffffff,4,0
